고객ID,나이,소득,근속연수,복지비사용액,만족도점수,건강지수,지원인원,성별,결혼상태,고용형태,학력,복지등급,지역,장애여부,웰니스참여,보육지원,정신건강지원,기록일자
CUST100000,50.032768854642164,5179226.0,5.822244922914187,10886.053421090874,74.76897795703763,79.76782712667567,3.036694177719548,여성,,정규직,학사,기본,부산,없음,아니오,아니오,아니오,2025-09-18
CUST100001,,4609560.0,,,,,,남성,기혼,정규직,학사,가족형,대구,없음,아니오,아니오,아니오,2025-09-18
CUST100002,65.35267061862808,3571556.0,19.32887946938414,59385.059022308065,85.04814122391402,84.11383653925888,16.322176289747876,여성,기혼,정규직,전문학사,표준,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100003,135.35768239908722,2723675.0,84.31819815703838,274221.086131477,120.38996058589757,114.44497074022479,76.17451614067697,남성,미혼,정규직,전문학사,표준,울산,없음,아니오,아니오,아니오,2025-09-18
CUST100004,71.67969263490122,4337867.0,38.115919652751,118809.06865873287,109.07314123775801,98.50603605624184,33.60275887310631,여성,사별,계약직,학사,표준,기타,없음,예,아니오,아니오,2025-09-18
CUST100005,44.00191490526977,3972182.0,12.403772045097632,18044.055388780653,91.99612626470889,70.40455346948285,5.998297441368349,남성,미혼,은퇴,학사,프리미엄,부산,없음,아니오,아니오,아니오,2025-09-18
CUST100006,,4574231.0,,,,,,남성,기혼,정규직,석사,기본,울산,없음,아니오,아니오,아니오,2025-09-18
CUST100007,106.41221595547307,4262206.0,60.593747803838376,201552.08722975248,120.69794936745264,141.84614458622815,55.2782405082325,남성,기혼,은퇴,석사,프리미엄,서울,없음,아니오,아니오,예,2025-09-18
CUST100008,50.058414323077734,4759463.0,24.193440994426442,51054.049623085026,87.99150679876603,46.69637491415245,16.030498135715316,남성,미혼,계약직,박사,표준,인천,없음,아니오,예,아니오,2025-09-18
CUST100009,94.7232712696497,2857717.0,60.18868713999995,169937.07827510795,118.66531790187935,103.69238836505279,46.61216647606973,남성,기혼,정규직,학사,기본,부산,없음,아니오,아니오,아니오,2025-09-18
CUST100010,41.179147492696046,5080872.0,7.492002175526386,18703.05120510316,99.36761990884128,54.36360970034663,6.174847492659207,여성,미혼,비정규직,석사,표준,대구,없음,아니오,아니오,아니오,2025-09-18
CUST100011,36.48935874573609,3737119.0,2.725943051674304,1617.051164742834,60.27148854755841,98.41731511815387,2.4954431337615715,,미혼,정규직,석사,프리미엄,서울,없음,아니오,아니오,아니오,2025-09-18
CUST100012,95.49237831192748,5990313.0,56.74068192110705,187301.07859780974,115.54823574368393,121.19242904542378,51.36721567250412,남성,미혼,정규직,석사,실버,기타,없음,아니오,아니오,아니오,2025-09-18
CUST100013,34.654701982000745,2672974.0,17.881847176092222,56869.044185869876,74.85739840834432,67.09415953942923,17.61703254455325,여성,미혼,정규직,고졸,프리미엄,광주,없음,아니오,아니오,아니오,2025-09-18
CUST100014,37.70457188354097,5583156.0,27.791912345588845,60686.04677851392,66.69126892044933,74.71924105910139,17.664527869002942,남성,미혼,비정규직,박사,가족형,대구,없음,예,아니오,아니오,2025-09-18
CUST100015,61.487279607186025,3737492.0,33.056645031193895,96239.07072234411,101.69185399748488,121.83842700788328,26.424897548434608,여성,사별,정규직,학사,기본,기타,없음,예,아니오,예,2025-09-18
CUST100016,60.85945166006551,2718298.0,38.44388960085482,115824.06564929706,127.26026536394134,76.0853062583302,32.782491442191464,기타,사별,계약직,석사,기본,대구,없음,아니오,아니오,아니오,2025-09-18
