고객ID,나이,소득,근속연수,복지비사용액,만족도점수,건강지수,지원인원,성별,결혼상태,고용형태,학력,복지등급,지역,장애여부,웰니스참여,보육지원,정신건강지원,기록일자
CUST100002,65.35267061862808,3571556.0,19.32887946938414,59385.05902230807,85.04814122391402,84.11383653925888,16.322176289747876,여성,기혼,정규직,전문학사,표준,서울,없음,아니오,아니오,0,2025-09-18
CUST100004,71.67969263490122,4337867.0,38.115919652751,118809.06865873288,109.073141237758,98.50603605624184,33.60275887310631,여성,사별,계약직,학사,표준,기타,없음,예,아니오,0,2025-09-18
CUST100005,44.00191490526977,3972182.0,12.403772045097632,18044.055388780653,91.99612626470888,70.40455346948285,5.998297441368349,남성,미혼,은퇴,학사,프리미엄,부산,없음,아니오,아니오,0,2025-09-18
CUST100007,106.41221595547309,4262206.0,60.593747803838376,201552.08722975248,120.69794936745264,141.84614458622815,55.2782405082325,남성,기혼,은퇴,석사,프리미엄,서울,없음,아니오,아니오,1,2025-09-18
CUST100008,50.05841432307773,4759463.0,24.19344099442644,51054.04962308503,87.99150679876603,46.69637491415245,16.030498135715316,남성,미혼,계약직,박사,표준,인천,없음,아니오,예,0,2025-09-18
CUST100009,94.7232712696497,2857717.0,60.18868713999995,169937.07827510795,118.66531790187936,103.6923883650528,46.61216647606973,남성,기혼,정규직,학사,기본,부산,없음,아니오,아니오,0,2025-09-18
CUST100012,95.49237831192748,5990313.0,56.74068192110705,187301.0785978097,115.54823574368392,121.19242904542378,51.36721567250412,남성,미혼,정규직,석사,실버,기타,없음,아니오,아니오,0,2025-09-18
CUST100013,34.654701982000745,2672974.0,17.881847176092222,56869.04418586988,74.85739840834432,67.09415953942923,17.61703254455325,여성,미혼,정규직,고졸,프리미엄,광주,없음,아니오,아니오,0,2025-09-18
CUST100014,37.70457188354097,5583156.0,27.791912345588845,60686.04677851392,66.69126892044933,74.71924105910139,17.664527869002942,남성,미혼,비정규직,박사,가족형,대구,없음,예,아니오,0,2025-09-18
CUST100015,61.487279607186025,3737492.0,33.056645031193895,96239.07072234411,101.69185399748488,121.83842700788328,26.424897548434608,여성,사별,정규직,학사,기본,기타,없음,예,아니오,1,2025-09-18
CUST100018,44.12985409792051,3115583.0,23.10913062496789,47656.0516626067,71.68176565951383,81.76774331055846,13.102288763546364,남성,기혼,정규직,학사,표준,울산,없음,예,아니오,0,2025-09-18
CUST100019,48.99500746564652,4008999.0,25.61597202339282,87199.05840821052,98.34297526041458,91.74483237194468,24.93693738253151,남성,미혼,정규직,전문학사,프리미엄,대전,없음,아니오,아니오,1,2025-09-18
CUST100020,90.81162989612478,4127402.0,40.0011825216267,115635.07725538788,112.02535026122224,105.04455631011388,32.74265238599053,여성,미혼,정규직,전문학사,프리미엄,대구,없음,예,아니오,0,2025-09-18
CUST100021,48.75606717629484,2811559.0,17.7386747309135,35357.056247393964,79.26837074151405,85.69355129014622,10.739406102687902,여성,미혼,정규직,고졸,실버,서울,없음,예,아니오,0,2025-09-18
CUST100023,38.0136507215217,6070724.0,15.345715471592982,50917.03926321084,73.54802835016892,46.45332948736523,13.983013542087791,여성,이혼,정규직,고졸,표준,인천,없음,아니오,아니오,0,2025-09-18
CUST100024,62.13598392900344,5573051.0,37.84269324851736,98660.056795733,94.33250186262404,67.22400583872778,27.07344640640232,남성,미혼,정규직,전문학사,표준,광주,없음,아니오,아니오,1,2025-09-18
CUST100025,93.2544549805006,4023588.0,60.12780347446702,182776.08257752072,125.72940923131289,121.20060380676394,51.13190047222504,여성,미혼,정규직,고졸,기본,서울,없음,아니오,아니오,0,2025-09-18
CUST100027,52.20122237126248,3837209.2237288137,18.774670941529276,22448.04877156189,78.78042032912273,44.27082915970496,6.19742745245351,여성,기혼,정규직,전문학사,표준,서울,없음,아니오,아니오,0,2025-09-18
CUST100029,107.53456043379217,2272648.0,77.14478146120136,252981.08787621112,168.25185608791105,97.10744354864644,70.36103084707834,여성,미혼,은퇴,학사,표준,대전,없음,아니오,아니오,0,2025-09-18
CUST100031,71.54623543492141,1497699.0,9.10706938759351,27329.05761260537,81.10497983255958,70.554984350544,7.54372025821626,남성,미혼,정규직,고졸,표준,대구,없음,아니오,아니오,0,2025-09-18
CUST100034,65.77395208106407,2920176.0,26.954798674476763,53622.06308519939,87.39769089699291,85.52225734752292,14.747936863118944,여성,미혼,정규직,박사,표준,대전,경증,아니오,아니오,0,2025-09-18
CUST100035,32.20668519967579,5388784.0,25.31415738603514,18819.04525635693,66.90145450672019,53.58669122928527,7.198721808391875,남성,기혼,정규직,학사,표준,울산,없음,예,아니오,1,2025-09-18
CUST100036,73.12674665845165,2029081.0,38.853361016635205,105863.07118987344,106.7858040068056,101.97353038076636,30.060387162641184,여성,기혼,무직,학사,표준,인천,없음,아니오,아니오,1,2025-09-18
CUST100037,45.15777316235994,3837209.2237288137,32.2625406786316,98736.0526832782,94.54877005899031,72.63688362931437,30.08922342006632,여성,미혼,정규직,전문학사,기본,인천,없음,아니오,아니오,0,2025-09-18
CUST100039,70.7010083166606,4756517.0,31.086449559396826,97088.05571726683,82.51093308351024,72.34138368935963,27.641904969199288,여성,이혼,정규직,고졸,프리미엄,기타,없음,예,아니오,0,2025-09-18
CUST100041,83.60174637331973,2949338.0,45.94814893453687,144052.0627817841,90.37832673171911,85.71510558087604,40.50838988757253,여성,미혼,정규직,학사,프리미엄,대전,경증,예,아니오,0,2025-09-18
CUST100042,74.2007975813043,4794417.0,39.627395064414266,124372.06329227108,94.87148583119507,90.44978677765964,35.1203276440281,남성,기혼,정규직,학사,표준,대구,없음,아니오,아니오,1,2025-09-18
CUST100043,89.49528243169163,3453789.0,61.34139435320552,187331.07188332352,83.95803346335873,129.8916580441287,51.36774239733473,남성,기혼,정규직,고졸,표준,기타,없음,아니오,아니오,0,2025-09-18
CUST100044,49.50386795690486,3292847.0,28.91329227203143,92726.0506742271,92.42693906386694,64.78185770657062,26.44229798483089,남성,기혼,정규직,학사,프리미엄,인천,없음,예,아니오,0,2025-09-18
CUST100045,52.78547173220782,4560391.0,32.55720024427641,71903.05181852392,83.41620275049361,60.14305050681351,20.741425270573757,남성,기혼,정규직,박사,표준,광주,경증,아니오,아니오,0,2025-09-18
CUST100046,64.88667666084318,4282787.0,36.597522673830206,104988.0689416365,102.64872212729878,107.75811520711702,30.818122409675915,여성,기혼,정규직,학사,프리미엄,부산,없음,예,아니오,0,2025-09-18
CUST100047,56.83067286586494,1608329.0,9.00919375323677,10183.047539779816,75.47331968262137,42.7006874905901,2.838276539713811,여성,미혼,비정규직,학사,표준,광주,경증,아니오,아니오,0,2025-09-18
CUST100048,71.57842320971996,5271848.0,31.49695777992561,92950.06881025153,115.99937176393628,84.34888759121964,27.522371278878477,여성,기혼,무직,박사,표준,울산,없음,예,아니오,0,2025-09-18
CUST100049,41.30539584955586,5156109.0,29.36393396685314,77384.06211550406,120.89416215302994,80.87435908104145,22.253225155725627,여성,기혼,정규직,석사,프리미엄,기타,없음,예,아니오,0,2025-09-18
CUST100050,76.21530824341205,2749324.0,43.16463179100408,113460.0744400429,119.73384969460932,96.41704781347876,32.14396926766238,여성,미혼,정규직,학사,기본,인천,없음,예,아니오,0,2025-09-18
CUST100051,83.81096248696947,3974964.0,51.28131345710048,170284.06797633573,111.15055175445656,92.76892865999802,46.69687750150641,남성,미혼,정규직,학사,표준,인천,없음,예,아니오,0,2025-09-18
CUST100052,67.90915607101127,4092836.0,39.67587418400277,126961.0592906828,98.86435366529248,79.07526287895152,34.82544303389104,여성,미혼,무직,고졸,기본,서울,없음,아니오,아니오,0,2025-09-18
CUST100054,95.68779539226016,2839633.0,44.8611162369198,151657.0637628745,87.6306158334144,85.65739645727139,41.59228930206341,여성,기혼,정규직,전문학사,기본,대전,없음,아니오,아니오,0,2025-09-18
CUST100055,119.39724133496132,2694051.0,72.22749699406938,241591.08203779196,132.4848370020163,99.0444994492816,67.23613891822743,남성,기혼,정규직,고졸,표준,울산,없음,예,아니오,0,2025-09-18
CUST100057,44.8120755934762,4907274.0,17.61969770322593,24630.05704581633,87.47468215419616,79.79856534138442,6.803302934883526,여성,미혼,정규직,고졸,프리미엄,대전,없음,아니오,아니오,0,2025-09-18
CUST100058,79.6678216788156,4152320.0,44.02170486775593,126010.08052989804,115.22499172025525,127.35413025663046,36.5862045296769,여성,기혼,은퇴,학사,표준,기타,없음,아니오,아니오,1,2025-09-18
CUST100061,69.54844885982264,1000000.0,37.65823954199195,111048.06821910928,108.6802927751556,93.62776726885896,33.47662326129054,남성,이혼,정규직,고졸,표준,부산,없음,예,아니오,0,2025-09-18
CUST100063,74.01461777909874,1412343.0,55.29265819367082,171011.069512431,136.2411988930836,76.74967513376147,47.89730623383072,남성,기혼,정규직,학사,프리미엄,기타,없음,아니오,아니오,1,2025-09-18
CUST100065,90.79838428764675,2156396.0,37.84698606771393,119232.07605966517,106.7954025016826,111.6127790357658,32.72665602044771,여성,기혼,정규직,고졸,기본,서울,경증,예,아니오,0,2025-09-18
CUST100066,58.15553244343477,1946382.0,24.3754946894594,62293.06123101774,94.7317017364636,85.01957753844853,18.12019538384162,남성,기혼,정규직,전문학사,표준,부산,없음,예,예,0,2025-09-18
CUST100067,57.01478537324809,4892992.0,8.504450875555994,10861.045595418454,67.9562233473746,42.66305593301119,4.021579890527216,여성,미혼,정규직,석사,가족형,기타,중증,아니오,아니오,0,2025-09-18
CUST100072,72.7180715801807,3592186.0,39.99743038788009,115325.0645956337,96.83300531281314,88.86109365249477,33.6441076161976,여성,기혼,정규직,전문학사,표준,광주,없음,아니오,예,1,2025-09-18
CUST100074,36.498579485594405,4695520.0,22.49263260664612,67224.04524374843,87.54690477292407,55.30471423798525,20.45355930651785,남성,기혼,정규직,전문학사,기본,대구,없음,아니오,아니오,0,2025-09-18
CUST100075,72.22149262765268,2907492.0,26.88496011063196,77099.0647684233,82.43067855129507,103.50356009502804,21.178133922172744,여성,이혼,정규직,석사,프리미엄,인천,없음,예,예,0,2025-09-18
CUST100076,56.820879119717006,1632101.0,23.743779628464463,50164.057535696775,89.35920991719196,70.28308787840277,15.794943355842058,남성,기혼,정규직,학사,프리미엄,대전,없음,아니오,아니오,0,2025-09-18
CUST100077,50.5405939478478,2986261.0,25.286209757268598,45494.05743667593,69.10539114408466,97.44637021981488,12.516078053233954,여성,미혼,계약직,학사,기본,기타,없음,아니오,아니오,0,2025-09-18
CUST100078,55.48425808213566,5300911.0,18.52994831575413,45298.05605105554,58.95403168993745,104.2961110459921,13.460963434010974,남성,미혼,정규직,석사,프리미엄,인천,없음,아니오,아니오,0,2025-09-18
CUST100079,39.03022079552952,4520266.0,25.97330350854138,76392.0583596774,92.53064905087572,101.92603274740104,22.977120804493136,여성,미혼,정규직,전문학사,표준,광주,없음,아니오,아니오,1,2025-09-18
CUST100081,46.38311670335474,3080890.0,9.41416497485808,1293.039237547484,68.56983471003956,20.345602257565417,2.394757105572648,남성,기혼,비정규직,학사,표준,대전,없음,예,아니오,0,2025-09-18
CUST100082,75.90433612866089,3114037.0,19.11626281604429,61405.05898256723,74.09578772132433,85.50278878148478,16.87526400072853,남성,사별,비정규직,석사,기본,광주,없음,예,아니오,1,2025-09-18
CUST100083,42.26836893599203,5992097.0,13.20328641496559,26260.063898474466,97.21846588755116,106.39337786527769,7.256867597870205,여성,미혼,무직,전문학사,표준,인천,없음,예,아니오,0,2025-09-18
CUST100084,56.9242483034243,3958322.0,29.60126907230481,90597.0571036634,86.56105490173852,86.36775607933511,26.865535832082845,여성,미혼,정규직,학사,표준,광주,없음,예,아니오,0,2025-09-18
CUST100085,48.76085337868742,4016049.0,14.680869728548288,49994.042921613625,79.00148954513143,41.33457429047635,15.733755977248345,남성,기혼,정규직,석사,프리미엄,인천,없음,아니오,아니오,0,2025-09-18
CUST100086,84.00306491447157,4736340.0,37.40291501230778,116362.06796636996,109.11276475935844,81.11712829016719,32.93230235939106,여성,기혼,은퇴,학사,프리미엄,부산,없음,예,아니오,0,2025-09-18
CUST100089,69.25207167564879,3264380.0,35.81377207383966,77251.05493122447,98.55722978247776,37.54604467281129,21.209678226270896,여성,미혼,비정규직,전문학사,가족형,광주,없음,아니오,아니오,0,2025-09-18
CUST100091,59.611869339935694,3455333.0,14.512985494180002,23949.04894357429,64.98915667114804,56.73170959754766,7.608415647833483,여성,기혼,정규직,석사,기본,울산,경증,예,아니오,0,2025-09-18
CUST100092,72.64648432769958,4373155.0,51.090427942042304,144133.08038114113,120.00973891182808,131.84041673091093,40.548384356708645,남성,기혼,계약직,학사,프리미엄,광주,없음,아니오,예,0,2025-09-18
CUST100093,47.35841025451144,3562335.0,10.219529268554725,33937.04851857123,68.98058187633396,75.04487432160501,10.342934649354202,남성,미혼,계약직,학사,기본,대구,없음,아니오,아니오,1,2025-09-18
CUST100095,68.94284169870559,3403140.0,53.19834776366659,163474.06569914098,102.71431189839738,102.51574928223364,45.82905570471029,여성,미혼,정규직,고졸,표준,울산,없음,아니오,아니오,0,2025-09-18
CUST100096,78.34953526523981,3594362.0,44.72523445193387,121245.07158368004,109.33278948182526,96.09929475183876,34.27255368223483,여성,기혼,정규직,전문학사,표준,대구,없음,아니오,아니오,0,2025-09-18
